cb_read,cb_write,ds_read,ds_write,cb_nodes,cb_config_list,stripe_size,stripe_count,gkfs_chunksize,gkfs_dirents_buff_size,gkfs_daemon_io_xstreams,gkfs_daemon_handler_xstreams,POSIX_BYTES_READ_PERC,POSIX_UNIQUE_BYTES_PERC,POSIX_SHARED_BYTES_PERC,POSIX_READ_ONLY_BYTES_PERC,POSIX_READ_WRITE_BYTES_PERC,POSIX_WRITE_ONLY_BYTES_PERC,POSIX_UNIQUE_FILES_PERC,POSIX_SHARED_FILES_PERC,POSIX_READ_ONLY_FILES_PERC,POSIX_READ_WRITE_FILES_PERC,POSIX_WRITE_ONLY_FILES_PERC,POSIX_READS_PERC,POSIX_WRITES_PERC,POSIX_RW_SWITCHES_PERC,POSIX_SEQ_READS_PERC,POSIX_SEQ_WRITES_PERC,POSIX_CONSEC_READS_PERC,POSIX_CONSEC_WRITES_PERC,POSIX_FILE_NOT_ALIGNED_PERC,POSIX_MEM_NOT_ALIGNED_PERC,POSIX_SIZE_READ_0_100_PERC,POSIX_SIZE_READ_100_1K_PERC,POSIX_SIZE_READ_1K_10K_PERC,POSIX_SIZE_READ_10K_100K_PERC,POSIX_SIZE_READ_100K_1M_PERC,POSIX_SIZE_READ_1M_4M_PERC,POSIX_SIZE_READ_4M_10M_PERC,POSIX_SIZE_READ_10M_100M_PERC,POSIX_SIZE_READ_100M_1G_PERC,POSIX_SIZE_READ_1G_PLUS_PERC,POSIX_SIZE_WRITE_0_100_PERC,POSIX_SIZE_WRITE_100_1K_PERC,POSIX_SIZE_WRITE_1K_10K_PERC,POSIX_SIZE_WRITE_10K_100K_PERC,POSIX_SIZE_WRITE_100K_1M_PERC,POSIX_SIZE_WRITE_1M_4M_PERC,POSIX_SIZE_WRITE_4M_10M_PERC,POSIX_SIZE_WRITE_10M_100M_PERC,POSIX_SIZE_WRITE_100M_1G_PERC,POSIX_SIZE_WRITE_1G_PLUS_PERC,POSIX_ACCESS1_COUNT_PERC,POSIX_ACCESS2_COUNT_PERC,POSIX_ACCESS3_COUNT_PERC,POSIX_ACCESS4_COUNT_PERC,POSIX_OPENS_LOG10,POSIX_SEEKS_LOG10,POSIX_STATS_LOG10,POSIX_MMAPS_LOG10,POSIX_FSYNCS_LOG10,POSIX_MODE_LOG10,POSIX_MEM_ALIGNMENT_LOG10,POSIX_FILE_ALIGNMENT_LOG10,NPROCS_LOG10,POSIX_TOTAL_ACCESSES_LOG10,POSIX_TOTAL_BYTES_LOG10,POSIX_TOTAL_FILES_LOG10,agg_perf_by_slowest_LOG10
2,2,1,0,64,6,1,1,256,2,8,16,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,6.923689957220694,0.3222192947339193,8.921469805879974
1,2,0,2,7,2,2,32,2048,16,16,8,0.5,0.0,2.9243528842926025e-07,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,9.331929865805874,0.3222192947339193,8.49464086924933
0,2,0,2,19,8,8,1,8192,2,32,4,0.5,0.0,64.0,6.4373016357421875e-06,64.0,1.2278556823730469e-05,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.03125,0.4921875,0.4921875,0.46875,0.46875,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,2.1109262422664203,7.525749905836812,0.3222192947339193,8.386048632147821
2,0,0,1,17,5,256,8,1024,2,32,2,0.5,0.0,2.8405338525772095e-07,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0078125,0.498046875,0.498046875,0.4921875,0.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,2.7102020146553847,9.331929865805874,0.3222192947339193,8.217328357184169
2,0,1,1,21,5,2,8,8192,16,4,4,0.5,0.0,0.015625,0.0,0.015625,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.125,0.46875,0.46875,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,1.5198279937757189,9.331929865805874,0.3222192947339193,8.345880497423277
2,1,0,1,51,3,16,64,256,16,32,8,0.5,0.0,2.9243528842926025e-07,9.220093488693237e-08,0.0,1.9185245037078857e-07,0.0,2.0,1.0,0.0,1.0,0.5,0.5,0.001953125,0.49951171875,0.49951171875,0.498046875,0.498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,3.311563153319913,9.331929865805874,0.3222192947339193,8.370243923983336
0,1,1,1,56,1,8,2,1024,4,8,16,0.5,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.03125,0.4921875,0.4921875,0.46875,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,2.1109262422664203,8.729869875145285,0.3222192947339193,8.286490547971644
0,2,1,1,23,6,2,16,256,1,16,2,0.5,0.0,1.169741153717041e-06,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0078125,0.498046875,0.498046875,0.4921875,0.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,2.7102020146553847,8.729869875145285,0.3222192947339193,8.749769618776513
1,1,2,2,52,2,128,8,512,8,32,4,0.5,0.0,4.0,4.023313522338867e-07,4.0,7.674098014831543e-07,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.125,0.46875,0.46875,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,1.5198279937757189,8.729869875145285,0.3222192947339193,8.22122302836502
1,0,1,0,5,7,16,32,4096,16,32,8,0.5,0.0,7.310882210731506e-08,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.03125,0.4921875,0.4921875,0.46875,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,2.1109262422664203,9.933989856966994,0.3222192947339193,8.474399008108831
2,1,2,2,23,8,4,1,256,8,8,4,0.5,0.0,16.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,8.127809886486812,0.3222192947339193,8.227389579643425
1,2,1,1,9,1,32,1,16384,1,8,8,0.5,0.0,1.169741153717041e-06,4.023313522338867e-07,0.0,7.674098014831543e-07,0.0,2.0,1.0,0.0,1.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,8.729869875145285,0.3222192947339193,8.378637456970472
2,1,2,2,12,7,4,1,2048,16,8,16,0.5,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,8.127809886486812,0.3222192947339193,8.285576241484407
1,1,1,1,2,3,8,64,512,4,16,8,0.5,0.0,7.486343383789062e-05,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.125,0.46875,0.46875,0.375,0.375,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,1.5198279937757189,6.923689957220694,0.3222192947339193,8.701152509742483
2,2,2,2,63,1,64,4,1024,16,16,2,0.5,0.0,4.0,1.6093254089355469e-06,4.0,3.069639205932617e-06,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0078125,0.498046875,0.498046875,0.4921875,0.4921875,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,2.7102020146553847,8.127809886486812,0.3222192947339193,8.009034222459478
0,1,1,1,54,6,128,1,256,16,16,4,0.5,0.0,7.486343383789062e-05,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,6.923689957220694,0.3222192947339193,8.972133278063314
1,0,2,0,32,4,64,4,2048,16,16,4,0.5,0.0,0.0625,0.0,0.0625,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.001953125,0.49951171875,0.49951171875,0.498046875,0.498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,3.311563153319913,9.933989856966994,0.3222192947339193,8.32292969463062
1,2,0,0,40,3,256,16,2048,2,16,8,0.5,0.0,1.169741153717041e-06,4.023313522338867e-07,0.0,7.674098014831543e-07,0.0,2.0,1.0,0.0,1.0,0.5,0.5,0.001953125,0.49951171875,0.49951171875,0.498046875,0.498046875,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,3.311563153319913,8.729869875145285,0.3222192947339193,7.779296928453261
1,0,1,0,35,7,16,8,8192,2,16,16,0.5,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.00048828125,0.4998779296875,0.4998779296875,0.49951171875,0.49951171875,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,3.9134482556262884,9.331929865805874,0.3222192947339193,8.110471519369367
0,2,0,1,33,2,16,4,512,4,32,4,0.5,0.0,4.544854164123535e-06,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.125,0.46875,0.46875,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,1.5198279937757189,8.127809886486812,0.3222192947339193,8.435641438544002
2,1,2,2,7,3,2,8,1024,2,4,4,0.5,0.0,0.0625,1.0058283805847168e-07,0.0625,1.9185245037078857e-07,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,9.331929865805874,0.3222192947339193,8.379715680087573
0,0,2,0,13,6,128,4,4096,8,16,2,0.5,0.0,7.486343383789062e-05,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.125,0.46875,0.46875,0.375,0.375,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,1.5198279937757189,6.923689957220694,0.3222192947339193,8.971161960275637
0,0,1,2,59,2,256,32,1024,16,8,16,0.5,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.03125,0.4921875,0.4921875,0.46875,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,2.1109262422664203,8.127809886486812,0.3222192947339193,7.964137465977937
2,1,1,0,46,2,2,64,16384,1,16,16,0.5,0.0,1.817941665649414e-05,6.4373016357421875e-06,0.0,1.2278556823730469e-05,0.0,2.0,1.0,0.0,1.0,0.5,0.5,0.125,0.46875,0.46875,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,1.5198279937757189,7.525749905836812,0.3222192947339193,9.013544485868907
2,0,0,2,49,6,64,64,512,1,32,4,0.5,0.0,0.0625,0.0,0.0625,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.03125,0.4921875,0.4921875,0.46875,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,2.1109262422664203,9.331929865805874,0.3222192947339193,8.430051764484894
2,1,0,1,38,1,8,16,512,4,16,2,0.5,0.0,1.8715858459472656e-05,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,7.525749905836812,0.3222192947339193,9.169248544436265
1,0,2,0,26,7,32,1,8192,4,16,4,0.5,0.0,0.0009765625,2.514570951461792e-08,0.0009765625,4.7963112592697144e-08,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0001220703125,0.499969482421875,0.499969482421875,0.4998779296875,0.4998779296875,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,4.515464513692379,9.933989856966994,0.3222192947339193,8.00599070839899
0,0,2,0,29,8,32,16,4096,8,4,8,0.5,0.0,7.101334631443024e-08,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.125,0.46875,0.46875,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,1.5198279937757189,9.933989856966994,0.3222192947339193,8.485697238350383
2,1,2,1,56,8,4,2,256,8,32,16,0.5,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,7.525749905836812,0.3222192947339193,9.222293818254933
1,2,2,1,2,4,128,2,16384,1,32,16,0.5,0.0,7.310882210731506e-08,2.3050233721733093e-08,0.0,4.7963112592697144e-08,0.0,2.0,1.0,0.0,1.0,0.5,0.5,0.00048828125,0.4998779296875,0.4998779296875,0.49951171875,0.49951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,3.9134482556262884,9.933989856966994,0.3222192947339193,8.19333002642577
1,2,0,2,10,4,512,32,512,4,16,2,0.5,0.0,0.0009765625,0.0,0.0009765625,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0078125,0.498046875,0.498046875,0.4921875,0.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,2.7102020146553847,9.933989856966994,0.3222192947339193,8.48921957769816
0,2,1,0,42,5,256,64,256,1,8,16,0.5,0.0,1.169741153717041e-06,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.2810333672477277,1.2329961103921538,0.04139268515822507,-0.9999999999999996,0.04139268515822507,0.04139268515822507,0.9590413923210935,6.020600368872428,0.7075701760979364,0.9590413923210935,8.729869875145285,0.3222192947339193,8.366095719405479
